Team,Year,Host,Games Played,Goals Scored,Goals Conceded,Wins,Losses,Draws,Attendance Avg,Goals Scored Avg,Goals Conceded Avg
Canada,1995,Sweden,3,5,13,0,2,1,1206.6666666666667,1.6666666666666667,4.333333333333333
Nigeria,1995,Sweden,3,5,14,0,2,1,2145.6666666666665,1.6666666666666667,4.666666666666667
Australia,1995,Sweden,3,3,13,0,3,0,1383.3333333333333,1.0,4.333333333333333
Brazil,1995,Sweden,3,3,8,1,2,0,6663.0,1.0,2.6666666666666665
United States,1991,China PR,6,25,5,6,0,0,23083.333333333332,4.166666666666667,0.8333333333333334
Norway,1991,China PR,6,14,10,4,2,0,30750.0,2.3333333333333335,1.6666666666666667
Sweden,1991,China PR,6,18,7,4,2,0,21833.333333333332,3.0,1.1666666666666667
Germany,1991,China PR,6,13,10,4,2,0,14666.666666666666,2.1666666666666665,1.6666666666666667
Denmark,1991,China PR,4,7,6,1,2,1,17125.0,1.75,1.5
Chinese Taipei,1991,China PR,4,2,15,1,3,0,11750.0,0.5,3.75
Italy,1991,China PR,4,8,5,2,2,0,12000.0,2.0,1.25
China PR,1991,China PR,4,10,4,2,1,1,40250.0,2.5,1.0
Japan,1991,China PR,3,0,12,0,3,0,14000.0,0.0,4.0
Brazil,1991,China PR,3,1,7,1,2,0,13833.333333333334,0.3333333333333333,2.3333333333333335
New Zealand,1991,China PR,3,1,11,0,3,0,13333.333333333334,0.3333333333333333,3.6666666666666665
Nigeria,1991,China PR,3,0,7,0,3,0,13333.333333333334,0.0,2.3333333333333335
